[2023-04-28 14:55:19] INFO [django.utils.autoreload:578] Watching for file changes with StatReloader
[2023-04-28 14:55:19] DEBUG [django.utils.autoreload:267] Waiting for apps ready_event.
[2023-04-28 14:55:19] DEBUG [django.utils.autoreload:263] Main Django thread has terminated before apps are ready.
[2023-04-28 14:55:58] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:310] Main Django thread has terminated before apps are ready.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:280] Watching dir D:\Sonar\backengo\templates with glob **/*.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:280] Watching dir D:\Sonar\backengo\locale with glob **/*.mo.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:280] Watching dir D:\Sonar\backengo\locale with glob **/*.mo.
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1682711749.139944
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1682711748.6682334
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1682711706.8909607
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\DLLs\unicodedata.pyd first seen with mtime 1680671076.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1682711749.0629394
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\template\response.py first seen with mtime 1682711749.1884542
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\unittest\signals.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\__init__.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1682711749.11594
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1682711749.0979414
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\platform.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File C:\Users\Data_Science\AppData\Local\Programs\Python\Python311\Lib\_compression.py first seen with mtime 1680671050.0
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1682711749.1229417
[2023-04-28 14:55:58] DEBUG [django.utils.autoreload:378] File D:\Sonar\backengo\env\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1682711749.0889397
